strain,date,region,country,division,location,region_exposure,country_exposure,division_exposure,host,Nextstrain_clade,pango_lineage,clade_nextstrain,clade_who,Nextclade_pango,originating_lab,submitting_lab
USA/WA-PHL-016645/2022,2022-01-27,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-016664/2022,2022-01-26,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-016686/2022,2022-01-27,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-016711/2022,2022-01-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-016716/2022,2022-01-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-016728/2022,2022-01-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1,21K,Omicron,BA.1,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-016729/2022,2022-01-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-016732/2022,2022-01-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-016751/2022,2022-01-14,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-016756/2022,2022-01-14,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-016774/2022,2022-01-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-016809/2022,2022-01-29,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-016952/2022,2022-01-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.15,21K,Omicron,BA.1.15,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-016979/2022,2022-01-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1,21K,Omicron,BA.1,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017007/2022,2022-03-17,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Washington State Department of Health Public Health Laboratories,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017344/2022,2022-03-23,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017371/2022,2022-03-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017392/2022,2022-03-23,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017626/2022,2022-03-29,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017660/2022,2022-03-31,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017664/2022,2022-04-04,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017689/2022,2022-03-30,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017692/2022,2022-03-30,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017693/2022,2022-03-30,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017713/2022,2022-03-31,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.10.1,21L,Omicron,BA.2.10.1,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017715/2022,2022-03-31,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.17,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017719/2022,2022-03-30,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017726/2022,2022-03-30,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.10.1,21L,Omicron,BA.2.10.1,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017734/2022,2022-03-30,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017758/2022,2022-03-28,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,WA PHL,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017776/2022,2022-04-05,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,WA PHL,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017777/2022,2022-04-05,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,WA PHL,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017780/2022,2022-04-06,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,WA PHL,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017785/2022,2022-04-07,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,WA PHL,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017851/2022,2022-04-08,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017859/2022,2022-04-08,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-017899/2022,2022-04-11,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,WA PHL,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018000/2022,2022-04-05,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018001/2022,2022-04-05,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018021/2022,2022-04-07,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018022/2022,2022-04-07,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018027/2022,2022-04-07,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018029/2022,2022-04-07,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018031/2022,2022-04-07,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018036/2022,2022-04-06,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018043/2022,2022-04-05,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018044/2022,2022-04-05,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018045/2022,2022-04-05,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018048/2022,2022-04-06,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018049/2022,2022-04-06,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018050/2022,2022-04-06,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018247/2022,2022-04-14,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018383/2022,2022-04-19,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018471/2022,2022-04-20,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018477/2022,2022-04-20,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018486/2022,2022-04-20,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018496/2022,2022-04-20,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018499/2022,2022-04-20,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018509/2022,2022-04-20,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018510/2022,2022-04-20,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018511/2022,2022-04-20,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018520/2022,2022-04-20,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018529/2022,2022-04-21,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018531/2022,2022-04-20,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018535/2022,2022-04-20,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018541/2022,2022-04-21,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018542/2022,2022-04-21,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018556/2022,2022-04-20,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018625/2022,2022-04-22,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018649/2022,2022-04-22,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018686/2022,2022-04-26,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018701/2022,2022-04-26,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Northwest Laboratory,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018750/2022,2022-04-02,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.21,21L,Omicron,BA.2.21,Incyte Diagnostics Spokane,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018792/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018797/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018799/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.10,21L,Omicron,BA.2.10,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018800/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018802/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,recombinant,BA.2,recombinant,recombinant,XAP,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018803/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018804/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018805/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018806/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018807/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018808/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018809/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018811/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018812/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018813/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.10,21L,Omicron,BA.2.10,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018814/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018815/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,22C (Omicron),BA.2.12.1,22C,Omicron,BA.2.12.1,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018816/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018817/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018820/2022,2022-04-15,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.9,21L,Omicron,BA.2.9,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018827/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018828/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018829/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.12,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018830/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018832/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018833/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018835/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018836/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018839/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018841/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018842/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018843/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018845/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018847/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018848/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3.6,21L,Omicron,BA.2.3.6,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018851/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.10.1,21L,Omicron,BA.2.10.1,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018852/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018853/2022,2022-04-16,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21K (Omicron),BA.1.1,21K,Omicron,BA.1.1,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018862/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018864/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018865/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018866/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018867/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.10,21L,Omicron,BA.2.10,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018868/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018870/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,22C (Omicron),BA.2.12.1,22C,Omicron,BA.2.12.1,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018874/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018875/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018876/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3,21L,Omicron,BA.2.3,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018877/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018878/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018881/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.9,21L,Omicron,BA.2.9,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018882/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2.3.17,21L,Omicron,BA.2.3.17,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018883/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018884/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,21L (Omicron),BA.2,21L,Omicron,BA.2,Atlas Genomics,Washington State Department of Health Public Health Laboratories
USA/WA-PHL-018885/2022,2022-04-18,North America,USA,Washington,King County WA,North America,USA,Washington,Human,22C (Omicron),BA.2.12.1,22C,Omicron,BA.2.12.1,Atlas Genomics,Washington State Department of Health Public Health Laboratories
